"Squad","Player","Fls","Fld","Off","Crs","Won_Aerial","Lost_Aerial","Won_percent_Aerial"
"Sunderland","Patrick Roberts",0,0,0,0,0,1,0
"Sunderland","Robin Roefs",0,1,0,0,5,0,100
"Sunderland","Noah Sadiki",9,14,0,7,1,6,14.3
"Sunderland","Jenson Seelt",1,1,0,1,5,1,83.3
"Sunderland","Chemsdine Talbi",1,0,0,23,0,4,0
"Sunderland","Bertrand Traoré",3,6,1,5,1,3,25
"Sunderland","Granit Xhaka",10,10,0,23,26,12,68.4
"Tottenham","Rodrigo Bentancur",2,1,1,2,8,11,42.1
"Tottenham","Lucas Bergvall",9,3,1,9,2,8,20
"Tottenham","Kevin Danso",0,1,0,0,3,4,42.9
"Tottenham","Archie Gray",3,0,0,0,2,2,50
"Tottenham","Brennan Johnson",1,4,4,11,1,1,50
"Tottenham","Randal Kolo Muani",1,0,0,0,0,0,NA
"Tottenham","Mohammed Kudus",14,7,6,57,6,5,54.5
"Tottenham","Pape Matar Sarr",11,4,1,1,10,9,52.6
"Tottenham","Wilson Odobert",1,0,0,7,0,5,0
"Tottenham","João Palhinha",5,8,0,1,14,10,58.3
"Tottenham","Pedro Porro",10,9,0,50,4,1,80
"Tottenham","Richarlison",6,6,1,4,15,17,46.9
"Tottenham","Cristian Romero",8,6,0,0,15,10,60
"Tottenham","Xavi Simons",5,5,0,19,3,8,27.3
"Tottenham","Dominic Solanke",0,1,0,0,0,2,0
"Tottenham","Djed Spence",6,3,0,14,5,6,45.5
"Tottenham","Mathys Tel",4,2,2,4,2,13,13.3
"Tottenham","Destiny Udogie",3,6,2,5,4,3,57.1
"Tottenham","Micky van de Ven",6,4,0,1,11,9,55
"Tottenham","Guglielmo Vicario",0,2,0,0,0,0,NA
"West Ham","Nayef Aguerd",0,1,0,2,4,3,57.1
"West Ham","Alphonse Areola",0,0,0,0,0,0,NA
"West Ham","Jarrod Bowen",4,15,3,28,5,13,27.8
"West Ham","El Hadji Malick Diouf",10,6,0,35,12,13,48
"West Ham","Mateus Fernandes",9,3,0,8,2,3,40
"West Ham","Niclas Füllkrug",10,1,2,0,16,28,36.4
"West Ham","Luis Guilherme",0,0,0,0,0,1,0
"West Ham","Mads Hermansen",0,0,0,0,3,0,100
"West Ham","Igor",0,0,0,0,0,0,NA
"West Ham","Andy Irving",1,0,0,11,0,4,0
"West Ham","Max Kilman",11,1,0,3,32,18,64
"West Ham","Soungoutou Magassa",4,1,0,1,0,2,0
"West Ham","Callum Marshall",0,0,1,0,1,3,25
"West Ham","Konstantinos Mavropanos",3,1,0,0,16,10,61.5
"West Ham","Lucas Paquetá",16,17,2,23,24,23,51.1
"West Ham","Freddie Potts",0,0,0,1,4,2,66.7
"West Ham","Guido Rodríguez",0,0,0,2,1,0,100
"West Ham","Oliver Scarles",0,2,0,1,1,2,33.3
"West Ham","Tomáš Souček",5,2,1,1,15,8,65.2
"West Ham","Crysencio Summerville",8,13,1,7,1,3,25
"West Ham","Jean-Clair Todibo",1,2,1,2,6,10,37.5
"West Ham","Kyle Walker-Peters",5,8,0,4,6,7,46.2
"West Ham","Aaron Wan-Bissaka",3,3,0,10,4,2,66.7
"West Ham","James Ward-Prowse",4,2,0,23,3,5,37.5
"West Ham","Callum Wilson",3,5,1,1,3,8,27.3
"Wolves","Emmanuel Agbadou",4,2,0,8,15,7,68.2
"Wolves","André",7,10,0,0,1,5,16.7
"Wolves","Jhon Arias",7,0,1,22,6,8,42.9
"Wolves","Tolu Arokodare",2,3,1,0,13,17,43.3
"Wolves","Jean-Ricner Bellegarde",2,8,0,9,0,5,0
"Wolves","Hugo Bueno",5,2,0,44,5,3,62.5
"Wolves","Santiago Bueno",6,2,0,3,14,6,70
"Wolves","Matt Doherty",8,2,0,4,10,4,71.4
"Wolves","João Gomes",19,11,0,10,8,4,66.7
"Wolves","Rodrigo Gomes",2,2,0,4,3,3,50
"Wolves","Toti Gomes",3,4,0,3,6,8,42.9
"Wolves","Hwang Hee-chan",5,4,2,6,1,1,50
"Wolves","Ki-Jana Hoever",0,0,0,7,0,1,0
"Wolves","Sam Johnstone",0,0,0,0,2,0,100
"Wolves","Sasa Kalajdzic",0,0,0,0,2,1,66.7
"Wolves","Ladislav Krejčí",8,3,0,4,13,7,65
